source,split,view,image_path,image_w,image_h
cv,,frontal,data_raw/cv/Frontal/0216KZP.jpg,4032,2268
cv,,frontal,data_raw/cv/Frontal/1062FNT_.jpg,4032,2268
cv,,frontal,data_raw/cv/Frontal/1565HTS.jpg,4032,2268
cv,,frontal,data_raw/cv/Frontal/2153GYX.jpg,4032,2268
cv,,frontal,data_raw/cv/Frontal/2929KXJ.jpg,4032,2268
cv,,frontal,data_raw/cv/Frontal/3340JMF.jpg,4032,2268
cv,,frontal,data_raw/cv/Frontal/3587DCX.jpg,4032,2268
cv,,frontal,data_raw/cv/Frontal/3838JZH.jpg,4032,2268
cv,,frontal,data_raw/cv/Frontal/4674FHC.jpg,4032,2268
cv,,frontal,data_raw/cv/Frontal/5275HGY.jpg,4032,2268
cv,,frontal,data_raw/cv/Frontal/5488LKV.jpg,4032,2268
cv,,frontal,data_raw/cv/Frontal/5796DKP_.jpg,4032,2268
cv,,frontal,data_raw/cv/Frontal/6499KYF.jpg,4032,2268
cv,,frontal,data_raw/cv/Frontal/7067KSH.jpg,4032,2268
cv,,frontal,data_raw/cv/Frontal/7153JWD.jpg,4032,2268
cv,,frontal,data_raw/cv/Frontal/8727JTC.jpg,4032,2268
cv,,frontal,data_raw/cv/Frontal/9247CZG.jpg,4032,2268
cv,,frontal,data_raw/cv/Frontal/9296FJB.jpg,4032,2268
cv,,frontal,data_raw/cv/Frontal/PXL_20210921_150228605.jpg,4032,2268
cv,,frontal,data_raw/cv/Frontal/PXL_20210921_150235551.jpg,4032,2268
cv,,frontal,data_raw/cv/Frontal/PXL_20210921_150242081.jpg,4032,2268
cv,,frontal,data_raw/cv/Frontal/PXL_20210921_152343867.jpg,4032,2268
cv,,frontal,data_raw/cv/Frontal/PXL_20210921_152349075.jpg,4032,2268
cv,,frontal,data_raw/cv/Frontal/PXL_20210921_152354098.jpg,4032,2268
cv,,frontal,data_raw/cv/Frontal/PXL_20210921_152400613.jpg,4032,2268
cv,,frontal,data_raw/cv/Frontal/PXL_20210921_152408576.jpg,4032,2268
cv,,frontal,data_raw/cv/Frontal/PXL_20210922_092615069.jpg,4032,2268
cv,,frontal,data_raw/cv/Frontal/PXL_20210922_092633606.jpg,4032,2268
cv,,frontal,data_raw/cv/Frontal/PXL_20210922_092638472.jpg,4032,2268
cv,,frontal,data_raw/cv/Frontal/PXL_20210923_071331923.jpg,4032,2268
cv,,frontal,data_raw/cv/Frontal/PXL_20210923_071340804.jpg,4032,2268
