image_path,group_id,project_split
data_raw/cv/Frontal/0216KZP.jpg,g_ee453090d6f2244e,train
data_raw/cv/Frontal/1062FNT_.jpg,g_7f4c685a8be77161,train
data_raw/cv/Frontal/1565HTS.jpg,g_e22f99cc1c7287d4,validation
data_raw/cv/Frontal/2153GYX.jpg,g_f0fefaef54ef2a55,test
data_raw/cv/Frontal/2929KXJ.jpg,g_d30a3049e79bfee9,test
data_raw/cv/Frontal/3340JMF.jpg,g_cf2bc8f1648a356b,train
data_raw/cv/Frontal/3587DCX.jpg,g_0394434f293ce29c,train
data_raw/cv/Frontal/3838JZH.jpg,g_0fab81e637b60619,train
data_raw/cv/Frontal/4674FHC.jpg,g_7368f398c2f5d71c,train
data_raw/cv/Frontal/5275HGY.jpg,g_277f1159ce8383e3,train
data_raw/cv/Frontal/5488LKV.jpg,g_39869c643527b7ce,train
data_raw/cv/Frontal/5796DKP_.jpg,g_7e1ee563113ab16f,train
data_raw/cv/Frontal/6499KYF.jpg,g_859245a1badfad7a,validation
data_raw/cv/Frontal/7067KSH.jpg,g_b5218fc4f7782fd5,train
data_raw/cv/Frontal/7153JWD.jpg,g_680a407d4782c4f4,validation
data_raw/cv/Frontal/8727JTC.jpg,g_acdf9d1e63afd582,train
data_raw/cv/Frontal/9247CZG.jpg,g_fdf3e89298f98898,train
data_raw/cv/Frontal/9296FJB.jpg,g_0cf5bfc272e8447c,test
data_raw/cv/Frontal/PXL_20210921_150228605.jpg,g_b94ce70a53679c10,test
data_raw/cv/Frontal/PXL_20210921_150235551.jpg,g_0394434f293ce29c,train
data_raw/cv/Frontal/PXL_20210921_150242081.jpg,g_7e1ee563113ab16f,train
data_raw/cv/Frontal/PXL_20210921_152343867.jpg,g_b5218fc4f7782fd5,train
data_raw/cv/Frontal/PXL_20210921_152349075.jpg,g_680a407d4782c4f4,validation
data_raw/cv/Frontal/PXL_20210921_152354098.jpg,g_39869c643527b7ce,train
data_raw/cv/Frontal/PXL_20210921_152400613.jpg,g_88fd762d677abeee,validation
data_raw/cv/Frontal/PXL_20210921_152408576.jpg,g_d30a3049e79bfee9,test
data_raw/cv/Frontal/PXL_20210922_092615069.jpg,g_cf2bc8f1648a356b,train
data_raw/cv/Frontal/PXL_20210922_092633606.jpg,g_7f4c685a8be77161,train
data_raw/cv/Frontal/PXL_20210922_092638472.jpg,g_fdf3e89298f98898,train
data_raw/cv/Frontal/PXL_20210923_071331923.jpg,g_acdf9d1e63afd582,train
data_raw/cv/Frontal/PXL_20210923_071340804.jpg,g_277f1159ce8383e3,train
data_raw/cv/Frontal/PXL_20210923_071352288.jpg,g_7368f398c2f5d71c,train
data_raw/cv/Lateral/0182GLK.jpg,g_e8c6cf8d1611c9a2,train
data_raw/cv/Lateral/0292LKY.jpg,g_467ac0737e2d09d9,validation
data_raw/cv/Lateral/0664JGR.jpg,g_0df659fb96bfe944,train
data_raw/cv/Lateral/0729HHG.jpg,g_0e31088916e11dde,test
data_raw/cv/Lateral/0804FTB.jpg,g_a2bbc0b300bd8731,test
data_raw/cv/Lateral/0907JRF.jpg,g_88e4fcb5d16c31e8,train
data_raw/cv/Lateral/1062FNT.jpg,g_7f4c685a8be77161,train
data_raw/cv/Lateral/1178HJS.jpg,g_e9a5b438ebc13e0e,test
data_raw/cv/Lateral/1391KYW.jpg,g_387bebfef2be21ef,train
data_raw/cv/Lateral/1498JBZ.jpg,g_32ebcb5e1d938ce6,train
data_raw/cv/Lateral/1663FLN.jpg,g_c94a9b84bdf135b0,train
data_raw/cv/Lateral/2272HST.jpg,g_bce0a72ef8b305c2,test
data_raw/cv/Lateral/2335KGY.jpg,g_2008d11621ae64a1,validation
data_raw/cv/Lateral/2344KJP.jpg,g_475c9dc50d695581,train
data_raw/cv/Lateral/2377HSH.jpg,g_0398aaddde83ce68,test
data_raw/cv/Lateral/2643LDS.jpg,g_a11b9a93bc2edbaf,test
data_raw/cv/Lateral/2732LRG.jpg,g_e10d4ee664b8137b,validation
data_raw/cv/Lateral/2817LFP.jpg,g_1cb44c27226db6aa,test
data_raw/cv/Lateral/3017FRG.jpg,g_62b0255fd51c96be,validation
data_raw/cv/Lateral/3040JMB.jpg,g_6796c5471d69a624,train
data_raw/cv/Lateral/3326HGW - copia.jpg,g_e1451270a938261d,test
data_raw/cv/Lateral/3340JMF_.jpg,g_cf2bc8f1648a356b,train
data_raw/cv/Lateral/3374KBF.jpg,g_b38b3d8de49681c5,validation
data_raw/cv/Lateral/3567DCX_.jpg,g_0394434f293ce29c,train
data_raw/cv/Lateral/3587DCX_.jpg,g_0394434f293ce29c,train
data_raw/cv/Lateral/3616LLF.jpg,g_b8f0a9b3d6d33fc4,train
data_raw/cv/Lateral/3660CRT.jpg,g_75948f0bdf3418ed,train
data_raw/cv/Lateral/3991KHB.jpg,g_0df3c4a6c8beeee0,validation
data_raw/cv/Lateral/4142HCF.jpg,g_0c26ad1689f1db48,train
data_raw/cv/Lateral/4658JDG.jpg,g_39a765a17e755f8d,train
data_raw/cv/Lateral/4674FHC_.jpg,g_7368f398c2f5d71c,train
data_raw/cv/Lateral/5275HGY_.jpg,g_277f1159ce8383e3,train
data_raw/cv/Lateral/5416HML.jpg,g_b7defb10d0bae489,test
data_raw/cv/Lateral/5789JHB.jpg,g_29ae430de58c80df,train
data_raw/cv/Lateral/5796DKP.jpg,g_7e1ee563113ab16f,train
data_raw/cv/Lateral/5817FLW.jpg,g_c06caa983d45e81a,train
data_raw/cv/Lateral/5868GJV.jpg,g_a70a03919f656b4d,train
data_raw/cv/Lateral/5960CCW.jpg,g_47134c4eb3db8f64,train
data_raw/cv/Lateral/6000GVT.jpg,g_70df62612d6a0dd5,train
