image_path,source,original_split,group_id
data_raw/cv/Frontal/0216KZP.jpg,cv,,g_ee453090d6f2244e
data_raw/cv/Frontal/1062FNT_.jpg,cv,,g_7f4c685a8be77161
data_raw/cv/Frontal/1565HTS.jpg,cv,,g_e22f99cc1c7287d4
data_raw/cv/Frontal/2153GYX.jpg,cv,,g_f0fefaef54ef2a55
data_raw/cv/Frontal/2929KXJ.jpg,cv,,g_d30a3049e79bfee9
data_raw/cv/Frontal/3340JMF.jpg,cv,,g_cf2bc8f1648a356b
data_raw/cv/Frontal/3587DCX.jpg,cv,,g_0394434f293ce29c
data_raw/cv/Frontal/3838JZH.jpg,cv,,g_0fab81e637b60619
data_raw/cv/Frontal/4674FHC.jpg,cv,,g_7368f398c2f5d71c
data_raw/cv/Frontal/5275HGY.jpg,cv,,g_277f1159ce8383e3
data_raw/cv/Frontal/5488LKV.jpg,cv,,g_39869c643527b7ce
data_raw/cv/Frontal/5796DKP_.jpg,cv,,g_7e1ee563113ab16f
data_raw/cv/Frontal/6499KYF.jpg,cv,,g_859245a1badfad7a
data_raw/cv/Frontal/7067KSH.jpg,cv,,g_b5218fc4f7782fd5
data_raw/cv/Frontal/7153JWD.jpg,cv,,g_680a407d4782c4f4
data_raw/cv/Frontal/8727JTC.jpg,cv,,g_acdf9d1e63afd582
data_raw/cv/Frontal/9247CZG.jpg,cv,,g_fdf3e89298f98898
data_raw/cv/Frontal/9296FJB.jpg,cv,,g_0cf5bfc272e8447c
data_raw/cv/Frontal/PXL_20210921_150228605.jpg,cv,,g_b94ce70a53679c10
data_raw/cv/Frontal/PXL_20210921_150235551.jpg,cv,,g_0394434f293ce29c
data_raw/cv/Frontal/PXL_20210921_150242081.jpg,cv,,g_7e1ee563113ab16f
data_raw/cv/Frontal/PXL_20210921_152343867.jpg,cv,,g_b5218fc4f7782fd5
data_raw/cv/Frontal/PXL_20210921_152349075.jpg,cv,,g_680a407d4782c4f4
data_raw/cv/Frontal/PXL_20210921_152354098.jpg,cv,,g_39869c643527b7ce
data_raw/cv/Frontal/PXL_20210921_152400613.jpg,cv,,g_88fd762d677abeee
data_raw/cv/Frontal/PXL_20210921_152408576.jpg,cv,,g_d30a3049e79bfee9
data_raw/cv/Frontal/PXL_20210922_092615069.jpg,cv,,g_cf2bc8f1648a356b
data_raw/cv/Frontal/PXL_20210922_092633606.jpg,cv,,g_7f4c685a8be77161
data_raw/cv/Frontal/PXL_20210922_092638472.jpg,cv,,g_fdf3e89298f98898
data_raw/cv/Frontal/PXL_20210923_071331923.jpg,cv,,g_acdf9d1e63afd582
data_raw/cv/Frontal/PXL_20210923_071340804.jpg,cv,,g_277f1159ce8383e3
data_raw/cv/Frontal/PXL_20210923_071352288.jpg,cv,,g_7368f398c2f5d71c
data_raw/cv/Lateral/0182GLK.jpg,cv,,g_e8c6cf8d1611c9a2
data_raw/cv/Lateral/0292LKY.jpg,cv,,g_467ac0737e2d09d9
data_raw/cv/Lateral/0664JGR.jpg,cv,,g_0df659fb96bfe944
data_raw/cv/Lateral/0729HHG.jpg,cv,,g_0e31088916e11dde
data_raw/cv/Lateral/0804FTB.jpg,cv,,g_a2bbc0b300bd8731
data_raw/cv/Lateral/0907JRF.jpg,cv,,g_88e4fcb5d16c31e8
data_raw/cv/Lateral/1062FNT.jpg,cv,,g_7f4c685a8be77161
data_raw/cv/Lateral/1178HJS.jpg,cv,,g_e9a5b438ebc13e0e
data_raw/cv/Lateral/1391KYW.jpg,cv,,g_387bebfef2be21ef
data_raw/cv/Lateral/1498JBZ.jpg,cv,,g_32ebcb5e1d938ce6
data_raw/cv/Lateral/1663FLN.jpg,cv,,g_c94a9b84bdf135b0
data_raw/cv/Lateral/2272HST.jpg,cv,,g_bce0a72ef8b305c2
data_raw/cv/Lateral/2335KGY.jpg,cv,,g_2008d11621ae64a1
data_raw/cv/Lateral/2344KJP.jpg,cv,,g_475c9dc50d695581
data_raw/cv/Lateral/2377HSH.jpg,cv,,g_0398aaddde83ce68
data_raw/cv/Lateral/2643LDS.jpg,cv,,g_a11b9a93bc2edbaf
data_raw/cv/Lateral/2732LRG.jpg,cv,,g_e10d4ee664b8137b
data_raw/cv/Lateral/2817LFP.jpg,cv,,g_1cb44c27226db6aa
data_raw/cv/Lateral/3017FRG.jpg,cv,,g_62b0255fd51c96be
data_raw/cv/Lateral/3040JMB.jpg,cv,,g_6796c5471d69a624
data_raw/cv/Lateral/3326HGW - copia.jpg,cv,,g_e1451270a938261d
data_raw/cv/Lateral/3340JMF_.jpg,cv,,g_cf2bc8f1648a356b
data_raw/cv/Lateral/3374KBF.jpg,cv,,g_b38b3d8de49681c5
data_raw/cv/Lateral/3567DCX_.jpg,cv,,g_0394434f293ce29c
data_raw/cv/Lateral/3587DCX_.jpg,cv,,g_0394434f293ce29c
data_raw/cv/Lateral/3616LLF.jpg,cv,,g_b8f0a9b3d6d33fc4
data_raw/cv/Lateral/3660CRT.jpg,cv,,g_75948f0bdf3418ed
data_raw/cv/Lateral/3991KHB.jpg,cv,,g_0df3c4a6c8beeee0
data_raw/cv/Lateral/4142HCF.jpg,cv,,g_0c26ad1689f1db48
data_raw/cv/Lateral/4658JDG.jpg,cv,,g_39a765a17e755f8d
data_raw/cv/Lateral/4674FHC_.jpg,cv,,g_7368f398c2f5d71c
data_raw/cv/Lateral/5275HGY_.jpg,cv,,g_277f1159ce8383e3
data_raw/cv/Lateral/5416HML.jpg,cv,,g_b7defb10d0bae489
data_raw/cv/Lateral/5789JHB.jpg,cv,,g_29ae430de58c80df
data_raw/cv/Lateral/5796DKP.jpg,cv,,g_7e1ee563113ab16f
data_raw/cv/Lateral/5817FLW.jpg,cv,,g_c06caa983d45e81a
data_raw/cv/Lateral/5868GJV.jpg,cv,,g_a70a03919f656b4d
data_raw/cv/Lateral/5960CCW.jpg,cv,,g_47134c4eb3db8f64
data_raw/cv/Lateral/6000GVT.jpg,cv,,g_70df62612d6a0dd5
data_raw/cv/Lateral/6401JBX.jpg,cv,,g_cd9c24cfd91d5dd4
data_raw/cv/Lateral/6554BNX.jpg,cv,,g_5700621a9fb114f9
data_raw/cv/Lateral/6929LKK.jpg,cv,,g_bb93fe1a42225c2c
data_raw/cv/Lateral/7093HWB.jpg,cv,,g_acbf91591ff7b949
data_raw/cv/Lateral/7674LLX.jpg,cv,,g_7dcc0105cbd2e60f
data_raw/cv/Lateral/7982LCD.jpg,cv,,g_8babb2c7b102540d
data_raw/cv/Lateral/8157HVG.jpg,cv,,g_1a5d1d33d2194279
data_raw/cv/Lateral/8611LGM.jpg,cv,,g_3e94fb94d39c0ccd
data_raw/cv/Lateral/8727JTC_.jpg,cv,,g_acdf9d1e63afd582
data_raw/cv/Lateral/8796CKY.jpg,cv,,g_50aa07028d455ac5
data_raw/cv/Lateral/PXL_20210921_094926329.jpg,cv,,g_7e1ee563113ab16f
data_raw/cv/Lateral/PXL_20210921_094938026.jpg,cv,,g_640e1c3c3b6037bf
data_raw/cv/Lateral/PXL_20210921_094946132.jpg,cv,,g_e8c6cf8d1611c9a2
data_raw/cv/Lateral/PXL_20210921_094951899.jpg,cv,,g_1b08e922e439c182
data_raw/cv/Lateral/PXL_20210921_094959264.jpg,cv,,g_29ae430de58c80df
data_raw/cv/Lateral/PXL_20210921_095022850.jpg,cv,,g_bb93fe1a42225c2c
data_raw/cv/Lateral/PXL_20210921_095032661.jpg,cv,,g_75948f0bdf3418ed
data_raw/cv/Lateral/PXL_20210921_095042811.jpg,cv,,g_70df62612d6a0dd5
data_raw/cv/Lateral/PXL_20210921_095052884.jpg,cv,,g_0394434f293ce29c
data_raw/cv/Lateral/PXL_20210921_095103559.jpg,cv,,g_32ebcb5e1d938ce6
data_raw/cv/Lateral/PXL_20210921_095112482.jpg,cv,,g_475c9dc50d695581
data_raw/cv/Lateral/PXL_20210921_095129495.jpg,cv,,g_88e4fcb5d16c31e8
data_raw/cv/Lateral/PXL_20210921_095142454.jpg,cv,,g_5700621a9fb114f9
data_raw/cv/Lateral/PXL_20210921_095212294.jpg,cv,,g_cd9c24cfd91d5dd4
data_raw/cv/Lateral/PXL_20210923_071335579.jpg,cv,,g_acdf9d1e63afd582
data_raw/cv/Lateral/PXL_20210923_071344764.jpg,cv,,g_277f1159ce8383e3
data_raw/cv/Lateral/PXL_20210923_071356001.jpg,cv,,g_7368f398c2f5d71c
data_raw/uc3m/test/00000.jpg,uc3m,test,g_ced531a657d3928c
data_raw/uc3m/test/00014.jpg,uc3m,test,g_f4cfdc3c3900d3c2
data_raw/uc3m/test/00015.jpg,uc3m,test,g_ef5d111facb0cb8d
data_raw/uc3m/test/00016.jpg,uc3m,test,g_d01fddde69eaebb4
data_raw/uc3m/test/00022.jpg,uc3m,test,g_c1228c235d633d4d
data_raw/uc3m/test/00024.jpg,uc3m,test,g_f1ae4948e6463b6b
data_raw/uc3m/test/00035.jpg,uc3m,test,g_214203642eceef1d
data_raw/uc3m/test/00037.jpg,uc3m,test,g_aeaafd584da3adc0
data_raw/uc3m/test/00038.jpg,uc3m,test,g_502fcbdb4a6e309e
data_raw/uc3m/test/00039.jpg,uc3m,test,g_2bbbf150cc8e8f75
data_raw/uc3m/test/00075.jpg,uc3m,test,g_40f106286f2e9765
data_raw/uc3m/test/00076.jpg,uc3m,test,g_f4cfdc3c3900d3c2
data_raw/uc3m/test/00077.jpg,uc3m,test,g_8bdd3db6525857fd
data_raw/uc3m/test/00091.jpg,uc3m,test,g_1474fe863ffce91f
data_raw/uc3m/test/00093.jpg,uc3m,test,g_f4cfdc3c3900d3c2
data_raw/uc3m/test/00103.jpg,uc3m,test,g_837f94e86580000f
data_raw/uc3m/test/00104.jpg,uc3m,test,g_f4cfdc3c3900d3c2
data_raw/uc3m/test/00120.jpg,uc3m,test,g_6d463f49079c77dd
data_raw/uc3m/test/00122.jpg,uc3m,test,g_2dceb6a1e3e65c89
data_raw/uc3m/test/00123.jpg,uc3m,test,g_f8086cf86b742658
